марторан марторана мартораны мартора́на 
—
 — 
википедия википедия википедии 
38 38°06′53″ 
с с. 
ш ш. 
13 13°21′46″ 
в в. 
д д.hgяol 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
отпатрулировать отпатрулированная отпатрулирована 
8 8 
июнь июня 
2020 2020. 
состояние состояние 
переходить перейти 
навигация навигации 
поиск поиску 
кафедральный кафедральный 
собор собор 
( (санта-мария-дель-аммиральо, (santa (барочный) (сицилия) (итал. 
сан сан-никола-деи-гречи) сан-нико́ла-деи-гре́чи 
martorana martorana martorana) 
maria maria 
dell dell'ammiraglio, dell'ammiraglio), 
san san 
nicola nicola 
dei dei 
greci greci) 
северный северный 
фасад фасад 
страна страна 
италия италия 
город город 
палермо палермо 
конфессия конфессия 
итало итало-албанская 
католический католическая 
церковь церковь 
епархия епархия 
пьяный пьяна-дельи-альбанези 
архитектурный архитектурный 
стиль стиль стиль, 
арабо арабо-норманнский 
барокко барокко 
основатель основатель 
георгий георгий 
антиохийский антиохийский 
дата дата 
основание основания 
1143 1143 
год год 
действующий действующий 
храм храм 
сайт сайт 
chiesadellamartorana chiesadellamartorana.it 
медиафайл медиафайлы 
викисклад викискладе 
la la 
санта са́нта-мари́я-дель-аммира́льо 
santa santa 
официально официально 
