гриффин гриффины 
—
 — 
википедия википедия википедии 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
проверять проверенная 
25 25 
октябрь октября 
2020 2020. 
9 9 
правка правок 
ожидать ожидают 
проверка проверки. 
состояние состояние 
отпатрулировать отпатрулирована 
переходить перейти 
навигация навигации 
поиск поиску 
family family 
guy guy 
логотип логотип 
мультсериал мультсериала 
жанр жанр 
ситком cитком 
черный чёрная 
комедия комедия 
буффонада буффонада 
абсурд абсурда 
трагикомедия трагикомедия[1] 
возрастной возрастное 
ограничение ограничение 
16+ 16+ 
( (некоторые (планируется 
серия серии 
цензура цензуры 
18+ 18+) 
автор автор(ы) 
сет сет 
макфарлейн макфарлейн 
производство производство производства 
fuzzy fuzzy 
door door 
productions productions, 
20th 20th 
century century 
fox fox 
television television 
озвучивать озвучивают 
алекс алекс 
борштейн борштейн 
грин грин 
мила мила 
кунис кунис 
майк майк 
генри генри 
композитор композитор 
уолтер уолтер 
мерфи мёрфи 
рон рон 
джонс джонс 
страна страна 
сша сша 
язык язык 
английский английский 
количество количество 
сезон сезонов 
19 19 
21 21) 
выпуск выпусков 
354 354 
список список 
эпизод эпизодов 
« «гриффины» 
продюсер продюсер(ы) 
шэннон шэннон 
смит смит 
юлиус юлиус 
шарп шарп 
кара кара 
валлоу валлоу 
