насекомое насекомые 
—
 — 
википедия википедия википедии 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
отпатрулировать отпатрулированная отпатрулирована 
20 20 
декабрь декабря 
2020 2020. 
состояние состояние 
переходить перейти 
навигация навигации 
поиск поиску 
научный научная научное 
классификация классификация 
промежуточный промежуточные 
ранг ранги ранга: 
домен домен: 
эукариот эукариоты 
царство царство: 
животное животные 
подцарство подцарство: 
эуметазой эуметазои 
двусторонний двусторонне-симметричные 
первичнороть первичноротые 
линять линяющие 
panarthropoda panarthropoda 
тип тип: 
членистоногий членистоногие 
подтип подтип: 
трахейнодышащий трахейнодышащие 
надкласс надкласс: 
шестиногий шестиногие 
класс класс: 
международный международное 
название название 
insecta insecta 
( (linnaeus, (apterygota) (pterygota) (entognatha) (amyocerata) (triplura) 
1758 1758) 
подкласс подклассы 
инфракласс инфраклассы: 
бескрылый бескрылые 
крылатый крылатые 
или или: 
скрыточелюстной скрыточелюстные 
безмышцеусый безмышцеусые 
щетинохвостка щетинохвостки 
геохронология геохронология 
появляться появился 
410 410 
млн млн 
год лет 
период период 
эра эра 
эон эон 
2 2,588 
чета чет-ный 
ка ка 
ф ф 
н н 
е е 
р р 
з з 
й й 
23 23,03 
неоген неоген 
66 66,0 
палеоген палеоген 
145 145,5 
мел мел 
м м 
