жесткокрылый жесткокрылые 
—
 — 
википедия википедия википедии 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
отпатрулировать отпатрулированная отпатрулирована 
18 18 
январь января 
2021 2021. 
состояние состояние 
переходить перейти 
навигация навигации 
поиск поиску 
коллекция коллекция 
тропический тропических 
жуков жуков 
музей музея 
виктория виктории 
альберта альберта 
( (лондон). (adephaga) (archostemata) (myxophaga) (polyphaga) 
научный научная научное 
классификация классификация 
промежуточный промежуточные 
ранг ранги ранга: 
домен домен: 
эукариот эукариоты 
царство царство: 
животное животные 
подцарство подцарство: 
эуметазой эуметазои 
двусторонний двусторонне-симметричные 
первичнороть первичноротые 
линять линяющие 
panarthropoda panarthropoda 
тип тип: 
членистоногий членистоногие 
подтип подтип: 
трахейнодышащий трахейнодышащие 
надкласс надкласс: 
шестиногий шестиногие 
класс класс: 
насекомое насекомые 
подкласс подкласс: 
крылатый крылатые 
инфракласс инфракласс: 
новокрылое новокрылые 
клад клада: 
полный полным 
превращение превращением 
надотряд надотряд: 
coleopterida coleopterida 
отряд отряд: 
международный международное 
название название 
coleoptera coleoptera 
linnaeus linnaeus, 
1758 1758 
подотряд подотряды 
плотоядный плотоядные 
жук жуки 
архостемат архостемата 
миксофаг миксофага 
разноядный разноядные 
геохронология геохронология 
появляться появился 
318 318 
млн млн 
год лет 
период период 
эра эра 
эон эон 
2 2,588 
чета чет-ный 
ка ка 
