кипа кипу 
—
 — 
википедия википедия википедии 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
проверять проверенная 
29 29 
март марта 
2020 2020. 
3 3 
правка правки 
ожидать ожидают 
проверка проверки. 
состояние состояние 
отпатрулировать отпатрулирована 
переходить перейти 
навигация навигации 
поиск поиску 
инк инков. инков инки 
музей музей 
ларко ларко. 
тип тип 
письмо письма письмо 
иной иное 
язык языки 
кечуа кечуа, 
аймара аймара 
( (в (?) (аймара), (некоторые 
царство царстве 
кольа кольа), кольа 
пукина пукина 
территория территория 
караль караль, караль 
паракас паракас, 
уари уари, 
империя империя 
история история 
место место 
возникновение возникновения 
центральный центральные 
анды анды 
создатель создатель 
легендарный легендарный 
ильа ильа, 
мудрец мудрец 
время времён 
майта майта 
капак капака[1] 
период период 
iii iii 
тысячелетие тысячелетие 
н н. 
э э.[2] 
xviii xviii 
век век[3] 
разновидность разновидности 
использоваться используются 
сей сих 
пора пор) 
происхождение происхождение 
точность точности 
известно известно 
родственный родственные 
вампум вампум, 
узелковый узелковое 
китай китае 
свойство свойства 
статус статус 
числовой числовые 
знак знаки 
часть часть 
цветовой цветовых 
значение значений 
дешифровать дешифрованы, 
языковой языковые 
направление направление 
начинать начала 
