беспозвоночный беспозвоночные 
—
 — 
википедия википедия википедии 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
переходить перейти 
навигация навигации 
поиск поиску 
парафилетический парафилетическая 
группа группа 
животный животных 
скрипун скрипун 
большой большой 
осиновый осиновый 
( (saperda (animalia) 
carcharias carcharias) 
название название названия 
статус статус 
определять определён 
научный научное 
invertebrata invertebrata 
родительский родительский 
таксон таксон 
царство царство 
животное животные 
представитель представители 
тип тип 
porifera porifera 
губка губки 
placozoa placozoa 
пластинчатый пластинчатые 
ctenophora ctenophora 
гребневик гребневики 
cnidaria cnidaria 
стрекать стрекающие 
myxozoa myxozoa 
acoelomorpha acoelomorpha 
kinorhyncha kinorhyncha 
киноринх киноринхи 
priapulida priapulida 
приапулиды приапулиды 
loricifera loricifera 
лорицифер лорициферы 
nematoda nematoda 
нематода нематоды 
nematomorpha nematomorpha 
волосатик волосатики 
tardigrada tardigrada 
тихоходка тихоходки 
onychophora onychophora 
онихофора онихофоры 
arthropoda arthropoda 
членистоногий членистоногие 
plathelminthes plathelminthes 
плоский плоские 
червь черви 
gastrotricha gastrotricha 
брюхоресничный брюхоресничные 
mollusca mollusca 
