индеец индейцы 
—
 — 
википедия википедия википедии 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
переходить перейти 
навигация навигации 
поиск поиску 
численность численность 
75 75 
000 000 
( (1 
население населения 
земля земли)[источник 
указывать указан 
1261 1261 
день день] 
расселение расселение 
мексика мексика: 
10 10,1 
млн млн 
боливия боливия: 
7 7 
перо перу: 
6 6 
гватемала гватемала: 
5 5,4 
эквадор эквадор: 
3 3,4 
сша сша: 
2 2,5 
колумбия колумбия: 
1 1,4 1,2 
канада канада: 
бразилия бразилия: 
700 700 
чили чили: 
692 692 
аргентина аргентина: 
600 600 
венесуэла венесуэла: 
524 524 
никарагуа никарагуа: 
443 443 
847 847 
панама панама: 
204 204 
парагвай парагвай: 
95 95 
235 235 
сальвадор сальвадор: 
~ ~70 ~50 ~20 
коста-рика коста-рика: 
60 60 
белиз белиз: 
пуэрто пуэрто-рико: 
суринам суринам: 
5000 5000 
язык язык языки 
индейский индейские 
медиафайл медиафайлы 
викисклад викискладе 
коренная коренные 
народ народы 
америка америки. 
илл илл. 
шведский шведской 
nordisk nordisk 
familjebok familjebok, 
1904 1904 
г г. 
пояснение пояснения 
