дорсет дорсет до́рсет 
—
 — 
википедия википедия википедии 
50 50°50′ 
с с. 
ш ш. 
2 2°20′ 2 
з з. 
д д.hgяol 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
отпатрулировать отпатрулированная отпатрулирована 
11 11 
июнь июня 
2020 2020. 
состояние состояние 
переходить перейти 
навигация навигации 
поиск поиску 
термин термина 
существовать существуют 
другой другие 
значение значения, 
см см. 
( (значения). (2011) (дорсет) (пул) 
церемониальный церемониальное 
неметропольный неметропольное 
графство графство 
англ англ. 
dorset dorset 
флаг флаг 
герб герб 
страна страна 
великобритания великобритания 
включать включает 
6 6 
район районов 
унитарный унитарные 
единица единицы 
адма адм. 
центр центр 
дорчестер дорчестер 
история история 
география география 
площадь площадь 
2653 2653 
км² км² 
часовой часовой 
пояс пояс 
utc utc±0:00 
крупный крупнейшие 
город города 
бридпорт бридпорт, 
пул пул, 
уэймут уэймут, 
лайм лайм-реджис, 
шерборн шерборн, 
гилингем гилингем, 
бландфорд бландфорд-форум, 
вервуд вервуд, 
крайстчерч крайстчерч, 
борнмут борнмут 
население население 
744 744 
041 041 
чело чел. чел./км² 
плотность плотность 
285 285 
цифровой цифровые 
идентификатор идентификаторы 
код код 
iso iso 
3166 3166-2 
gb gb-dor gb-pol gb-bmh 
