колпино колпино колпино-мо.рф ко́лпино 
—
 — 
википедия википедия википедии 
59 59°45′ 
с с. 
ш ш. 
30 30°36′ 
в в. 
д д.hgяol 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
проверять проверенная 
4 4 
февраль февраля 
2021 2021. 
1 1 
правка правка 
ожидать ожидает 
проверка проверки. 
состояние состояние 
отпатрулировать отпатрулирована 
переходить перейти 
навигация навигации 
поиск поиску 
термин термина 
существовать существуют 
другой другие 
значение значения, 
см см. 
( (значения). (2020) 
город город[1] 
флаг флаг 
герб герб 
страна страна 
россия россия 
субъект субъект 
федерация федерации 
санкт-петербург санкт-петербург 
район район 
колпинский колпинский 
история история 
география география 
основывать основан 
1722 1722 
1912 1912 
часовой часовой 
пояс пояс 
utc utc+3:00 
население население 
↗ ↗149 
156 156[2] 
человек человек 
катойконить катойконим 
колпинец колпинцы, колпинец, 
колпинок колпинка 
цифровой цифровые 
идентификатор идентификаторы 
телефонный телефонный 
код код 
+ +7 
812 812 
почтовый почтовые 
индекс индексы 
196650 196650—196658 
окато окато 
40277501 40277501 
октмо октмо 
40342000 40342000 
москва москва 
медиафайл медиафайлы 
викисклад викискладе 
