пеканбар пеканбару 
—
 — 
википедия википедия википедии 
00 00°32′00″ 
с с. 
ш ш. 
101 101°27′00″ 
в в. 
д д.hgяol 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
отпатрулировать отпатрулированная отпатрулирована 
15 15 
октябрь октября 
2020 2020. 
состояние состояние 
переходить перейти 
навигация навигации 
поиск поиску 
город город 
kota kota 
pekanbaru pekanbaru 
герб герб 
страна страна 
индонезия индонезия 
провинция провинция 
риау риау 
внутренний внутреннее 
деление деление 
12 12 
район районов 
мэр мэр 
фирдаус фирдаус 
история история 
география география 
основывать основан 
1784 1784 
прежний прежние 
название названия 
сенапелан сенапелан 
площадь площадь 
632 632,26 
км² км² 
высота высота 
центр центра 
5 5 
11 11 
м м 
тип тип 
климат климата 
экваториальный экваториальный 
часовой часовой 
пояс пояс 
utc utc+7:00 
население население 
1 1 
030 030 
732 732 
человек человек 
( (2014) 
плотность плотность 
1420 1420 
чело чел./км² 
национальность национальности 
минангкабау минангкабау, 
малаец малайцы, 
яванец яванцы 
конфессия конфессии 
мусульманин мусульмане-сунниты 
официальный официальный 
язык язык 
индонезийский индонезийский 
цифровой цифровые 
идентификатор идентификаторы 
телефонный телефонный 
код код 
+ +62 
761 761 
почтовый почтовые 
индекс индексы 
28130 28130 
28299 28299 
