подольск подольск подольском 
—
 — 
википедия википедия википедии 
55 55°25′47″ 
с с. 
ш ш. 
37 37°32′40″ 
в в. 
д д.hgяol 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
проверять проверенная 
22 22 
октябрь октября 
2020 2020. 
7 7 
правка правок 
ожидать ожидают 
проверка проверки. 
состояние состояние 
отпатрулировать отпатрулирована 
переходить перейти 
навигация навигации 
поиск поиску 
термин термина 
существовать существуют 
другой другие 
значение значения, 
см см. 
( (значения). (2020) 
следовать следует 
путать путать 
город городом город 
одесский одесской 
область области область 
украина украины. 
флаг флаг 
герб герб 
страна страна 
россия россия 
субъект субъект 
федерация федерации 
московский московская 
городской городской 
округ округ 
глава глава 
николай николай 
игоревич игоревич 
пест пестов 
история история 
география география 
основывать основан 
1627 1627[2] 
первый первое 
упоминание упоминание 
1559 1559 
1781 1781 
год года 
площадь площадь 
40 40,39 
км² км² 
высота высота 
центр центра 
160 160 
м м 
тип тип 
климат климата 
умеренно умеренно 
континентальный континентальный 
часовой часовой 
пояс пояс 
utc utc+3:00 
население население 
↗ ↗308 
130 130[1] 
человек человек 
