хойан хойан хойан) 
—
 — 
википедия википедия википедии 
15 15°53′ 
с с. 
ш ш. 
108 108°20′ 
в в. 
д д.hgяol 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
отпатрулировать отпатрулированная отпатрулирована 
3 3 
январь января 
2019 2019. 
состояние состояние 
переходить перейти 
навигация навигации 
поиск поиску 
город город 
провинциальный провинциального 
подчинение подчинения 
вьетна вьетн. 
hội hội 
an an 
герб герб 
страна страна 
вьетнам вьетнам 
провинция провинция 
куангна куангнам 
внутренний внутреннее 
деление деление 
девять девять 
район районов 
четыре четыре 
сельский сельские 
коммуна коммуны 
история история 
география география 
прежний прежние 
название названия 
файфо файфо 
площадь площадь 
60 60 
км² км² 
высота высота 
центр центра 
13 13 
м м 
часовой часовой 
пояс пояс 
utc utc+7:00 
население население 
121 121 
716 716 
человек человек 
( (2001) (древний 
плотность плотность 
2028 2028 
чело чел./км² 
официальный официальный 
язык язык 
вьетнамский вьетнамский 
цифровой цифровые 
идентификатор идентификаторы 
телефонный телефонный 
код код 
+ +84 
026 026 
прочее прочее 
объект объект 
всемирный всемирного 
наследие наследия 
hoi hoi 
ancient ancient 
town town 
ссылка ссылка 
