хьюстон хьюстон хьюстону[en], 
—
 — 
википедия википедия википедии 
29 29°45′46″ 
с с. 
ш ш. 
95 95°22′59″ 
з з. 
д д.hgяol 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
отпатрулировать отпатрулированная отпатрулирована 
16 16 
январь января 
2021 2021. 
состояние состояние 
переходить перейти 
навигация навигации 
поиск поиску 
термин термина 
существовать существуют 
другой другие 
значение значения, 
см см. 
( (значения). 
город город 
англ англ. 
houston houston 
сверху сверху 
часовой часовой 
стрелка стрелке: 
монумент монумент 
сэм сэму 
деловой деловой 
центр центр[en], центр центре центра 
судоходный судоходный 
канал канал, 
торговый торговый 
« «the 
galleria galleria»[en], 
хьюстонский хьюстонский 
университет университет 
цуп цуп 
имя имени 
крафт крафта-младшего[en] 
космический космическом 
джонсон джонсона. 
флаг флаг 
печать печать 
страна страна 
сша сша 
штат штат 
техас техас 
округ округ 
харрис харрис 
мэр мэр 
сильвестр сильвестр 
тернер тёрнер 
история история 
география география 
основывать основан 
30 30 
август августа 
1836 1836 
год года 
5 5 
июнь июня 
1837 1837 
площадь площадь 
1 1 
653 653,87 
км² км² 
высота высота 
32 32 
м м 
тип тип 
