минахас минахаса минаха́са минахаса) 
—
 — 
википедия википедия википедии 
0 0°48′ 
с с. 
ш ш. 
122 122°00′ 
в в. 
д д.hgяol 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
отпатрулировать отпатрулированная отпатрулирована 
28 28 
октябрь октября 
2020 2020. 
состояние состояние 
переходить перейти 
навигация навигации 
поиск поиску 
индон индон. 
semenanjung semenanjung 
minahasa minahasa 
физический физическая 
карта карта 
полуостров полуострова полуостров 
характеристика характеристики 
площадь площадь 
40 40 
000 000 
км² км² км², 
высокий наивысшая 
точка точка 
3030 3030 
м м 
расположение расположение 
омывать омывающие 
акватория акватории 
молуккский молуккское 
море море, 
сулавеси сулавеси, сулавеси сулавеси. 
макасарский макасарский 
пролив пролив 
страна страна 
индонезия индонезия 
провинция провинции 
северный северный северной 
горонтало горонтало, 
центральный центральный 
медиафайл медиафайлы 
викисклад викискладе 
( (индон. 
часть части часть 
индонезийский индонезийского 
остров острова 
тыс тыс. 
население население 
около около 
4 4,5 
млн млн 
человек человек. 
основной основную 
житель жителей 
составлять составляют 
представитель представители 
