бубастис бубастис бубастис, буба́стис, 
—
 — 
википедия википедия википедии 
30 30°34′22″ 
с с. 
ш ш. 
31 31°30′36″ 
в в. 
д д.hgяol 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
отпатрулировать отпатрулированная отпатрулирована 
21 21 
октябрь октября 
2020 2020. 
состояние состояние 
переходить перейти 
навигация навигации 
поиск поиску 
топоним топонима-имени 
другой другие 
значение значения, 
см см. 
баст баст баст(ет), ба́ст(ет), 
( (значения) (значения). (у (мухафаза (егип. (др.-греч. 
древнеегипетский древнеегипетский 
город город 
егип егип. 
пер пер-баст(ет) 
страна страна 
египет египет 
область область 
нижний нижний 
основывать основан 
начало начало 
3 3-го 
тыс тыс. 
н н. 
э э. 
название названия 
др др.-греч. 
бубастос бубастос; бубасто́с 
латы лат. 
бубастый бубаст; 
копт копт. 
бубасть бубасти; 
библа библ. 
пи пи-бесет; 
сотина сотин 
псевдо псевдо-матфея) 
разрушать разрушен 
середина середина 
1 1-го 
современный современная 
локация локация 
эз эз-заказик 
шаркия шаркия, 
аре аре) 
медиафайл медиафайлы 
викисклад викискладе 
переть пер-ба́ст(ет) 
транслит транслит. 
bast bast, 
bastt bastt, 
pr pr-bast, pr-bastt), 
βουβάστις βουβάστις, 
