инсул инсула и́нсула инсулы инсул инсулах инсул, 
—
 — 
википедия википедия википедии 
материал материал материалов. 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
отпатрулировать отпатрулированная отпатрулирована 
17 17 
январь января 
2021 2021. 
состояние состояние 
переходить перейти 
навигация навигации 
поиск поиску 
остийский остийская 
( (лат. (лат.): 
insula insula, 
мфа мфа 
[ [ˈiːn.su.la]) [⇨] 
архитектура архитектуре 
древний древнего 
рим рима 
многоэтажный многоэтажный многоэтажные 
жилой жилой 
дом дом 
комната комнатами 
квартира квартирами, квартиры квартир 
предназначенный предназначенными 
сдача сдачи 
внаем внаём. 
появляться появились 
ранее ранее 
iii iii 
век века 
н н. 
э э. 
верхний верхние 
этаж этажи этажах. этажа 
занимать занимали 
основное основном 
бедняк бедняки, 
зажиточный зажиточные 
слой слои 
население населения 
снимать снимали 
комфортабельный комфортабельные 
первый первых первого 
большинство большинство 
неотапливаемый неотапливаемыми, 
малоосвещенный малоосвещёнными. 
исключение исключением 
некоторые некоторых 
отсутствовать отсутствовали 
водоснабжение водоснабжение 
канализация канализация. 
перенаселять перенаселённые 
подверженный подвержены 
частый частым 
обвал обвалам, 
вызывать вызванным 
нарушение нарушением 
правило правил 
строительство строительства 
использование использованием 
некачественный некачественных 
строительный строительных 
применение применение 
деревянный деревянных 
конструкция конструкций 
небольшой небольшое 
расстояние расстояние 
