италия италия италии 
—
 — 
википедия википедия википедии 
42 42°30′ 
с с. 
ш ш. 
12 12°30′ 
в в. 
д д.hgяol 
материал материал 
свободный свободной 
энциклопедия энциклопедии 
это это 
стабильный стабильная 
версия версия, 
отпатрулировать отпатрулированная отпатрулирована 
6 6 
февраль февраля 
2021 2021. 
состояние состояние 
переходить перейти 
навигация навигации 
поиск поиску 
термин термина 
существовать существуют 
другой другие 
значение значения, 
см см. 
( (значения). (1802—1805). (песнь (тёмно-зелёный): (светло-зелёный (светло-зелёный) 
запрос запрос 
« «итальянская «il 
республика республика» республика республика[2] 
перенаправляться перенаправляется 
сюда сюда; 
исторический историческом 
государство государстве 
1802 1802—1805 
год годов года 
итальянский итальянская итальянский[1] 
итал итал. 
repubblica repubblica 
italiana italiana 
флаг флаг 
герб герб 
гимн гимн: 
canto canto 
degli degli 
italiani italiani 
итальянец итальянцев)» 
расположение расположение 
европа европе 
темно-серый тёмно-серый) 
европейский европейском 
союз союзе 
основывать основана 
17 17 
март марта 
1861 1861 
официальный официальный 
язык язык 
столица столица 
рим рим рим, 
крупный крупнейшие 
город города 
милан милан, 
неаполь неаполь, 
турин турин, 
палермо палермо, 
генуя генуя, 
венеция венеция, 
болонья болонья, 
флоренция флоренция, 
бари бари, 
катание катания 
форма форма 
правление правления 
парламентский парламентская 
